# GOR compatibility baselines. Generated by :compat:accept — do not hand-edit.
>>> docs.basepn.block_1
chrom	pos	PN
chr1	0	AAAAA@B
chr1	1	AAAAAAA
chr1	2	AAAAAAB
chr1	3	AAAAAAC
chr1	4	AAAAAAD
chr1	5	AAAAAAE
chr1	6	AAAAAAF
chr1	7	AAAAAAG
chr1	8	AAAAAAH
chr1	9	AAAAAAI
chr1	10	AAAAAAJ
chr1	11	AAAAAAK
chr1	12	AAAAAAL
chr1	13	AAAAAAM
chr1	14	AAAAAAN
chr1	15	AAAAAAO
chr1	16	AAAAAAP
chr1	17	AAAAAAQ
chr1	18	AAAAAAR
chr1	19	AAAAAAS
chr1	20	AAAAAAT
chr1	21	AAAAAAU
chr1	22	AAAAAAV
chr1	23	AAAAAAW
chr1	24	AAAAAAX
chr1	25	AAAAAAY
chr1	26	AAAAAAZ
chr1	27	AAAAABA
chr1	28	AAAAABB
chr1	29	AAAAABC
chr1	30	AAAAABD
chr1	31	AAAAABE
chr1	32	AAAAABF
chr1	33	AAAAABG
chr1	34	AAAAABH
chr1	35	AAAAABI
chr1	36	AAAAABJ
chr1	37	AAAAABK
chr1	38	AAAAABL
chr1	39	AAAAABM
chr1	40	AAAAABN
chr1	41	AAAAABO
chr1	42	AAAAABP
chr1	43	AAAAABQ
chr1	44	AAAAABR
chr1	45	AAAAABS
chr1	46	AAAAABT
chr1	47	AAAAABU
chr1	48	AAAAABV
chr1	49	AAAAABW
chr1	50	AAAAABX
chr1	51	AAAAABY
chr1	52	AAAAABZ
chr1	53	AAAAACA
chr1	54	AAAAACB
chr1	55	AAAAACC
chr1	56	AAAAACD
chr1	57	AAAAACE
chr1	58	AAAAACF
chr1	59	AAAAACG
chr1	60	AAAAACH
chr1	61	AAAAACI
chr1	62	AAAAACJ
chr1	63	AAAAACK
chr1	64	AAAAACL
chr1	65	AAAAACM
chr1	66	AAAAACN
chr1	67	AAAAACO
chr1	68	AAAAACP
chr1	69	AAAAACQ
chr1	70	AAAAACR
chr1	71	AAAAACS
chr1	72	AAAAACT
chr1	73	AAAAACU
chr1	74	AAAAACV
chr1	75	AAAAACW
chr1	76	AAAAACX
chr1	77	AAAAACY
chr1	78	AAAAACZ
chr1	79	AAAAADA
chr1	80	AAAAADB
chr1	81	AAAAADC
chr1	82	AAAAADD
chr1	83	AAAAADE
chr1	84	AAAAADF
chr1	85	AAAAADG
chr1	86	AAAAADH
chr1	87	AAAAADI
chr1	88	AAAAADJ
chr1	89	AAAAADK
chr1	90	AAAAADL
chr1	91	AAAAADM
chr1	92	AAAAADN
chr1	93	AAAAADO
chr1	94	AAAAADP
chr1	95	AAAAADQ
chr1	96	AAAAADR
chr1	97	AAAAADS
chr1	98	AAAAADT
chr1	99	AAAAADU
<<<
